,ts_code,name,classify,list_date,delist_date
712,ALKM,,EQT,20140718,
713,ALKN,,EQT,19980720,
714,ALKS,,EQT,19910716,
715,ALL,好事达,EQT,19930603,
716,ALLE,,EQT,20131118,
717,ALLGF,,EQT,20171024,
718,ALLIF,,EQT,20161020,
719,ALLK,,EQT,20180719,
720,ALLM,,EQT,20140205,
721,ALLN,,EQT,19961101,
722,ALLO,,EQT,20181011,
723,ALLPRB,,EQT,20170918,
724,ALLPRG,,EQT,20180403,
725,ALLPRH,,EQT,20190802,
726,ALLPRI,,EQT,20191107,
727,ALLQ,,EQT,20030708,
728,ALLT,,EQT,20061116,
729,ALLVF,,EQT,20150519,
730,ALLWF,,EQT,20150413,
731,ALLXF,,EQT,20140113,
732,ALLY,,EQT,20140128,
733,ALMC,,EQT,19931028,
734,ALME,,EQT,20070824,
735,ALMFF,,EQT,19990721,
736,ALMMF,中铝公司,EQT,20140113,
737,ALMTF,,EQT,20130528,
738,ALNA,,EQT,20171102,
739,ALNPF,,EQT,20140113,
740,ALNPY,,ADR,20010109,
741,ALNY,,EQT,20040312,
742,ALO,,EQT,20111103,
743,ALOD,,EQT,20050617,
744,ALORY,,ADR,20160418,
745,ALOT,,EQT,19801114,
746,ALPC,,EQT,20190628,
747,ALPE,,EQT,19970716,
748,ALPIB,,EQT,20190628,
749,ALPKF,,EQT,20161213,
750,ALPMF,,EQT,20140113,
751,ALPMY,,ADR,20081208,
752,ALPN,,EQT,20150617,
753,ALPP,,EQT,20170113,
754,ALPRA,,EQT,20190301,
755,ALRGF,,EQT,20180125,
756,ALRHF,,EQT,20130111,
757,ALRM,,EQT,20150626,
758,ALRN,,EQT,20170629,
759,ALRS,,EQT,19910417,
760,ALRT,,EQT,19990106,
761,ALRY,,EQT,20030814,
762,ALSE,,EQT,19831025,
763,ALSI,,EQT,20010305,
764,ALSK,,EQT,19991118,
765,ALSMY,,ADR,20081016,
766,ALSN,,EQT,20120315,
767,ALSRF,,EQT,20161010,
768,ALSSF,,EQT,20040504,
769,ALST,,EQT,20050627,
770,ALSWF,,EQT,20140113,
771,ALT,,EQT,20050921,
772,ALTAF,,EQT,19600101,
773,ALTB,,EQT,20161116,
774,ALTCY,,ADR,20180416,
775,ALTD,,EQT,20170621,
776,ALTG,,EQT,20190425,
777,ALTM,,EQT,20170502,
778,ALTN,,EQT,20080130,
779,ALTPF,,EQT,20171129,
780,ALTR,,EQT,20171101,
781,ALTSF,,EQT,20140113,
782,ALTUF,,EQT,20200513,
783,ALTX,,EQT,19750515,
784,ALUS,,EQT,20200110,
785,ALUSU,,EQT,20191126,
786,ALV,,EQT,19970428,
787,ALVLF,,EQT,19600101,
788,ALVNF,,EQT,20200210,
789,ALVOF,,EQT,20131212,
790,ALVRQ,,EQT,20140116,
791,ALVVF,,EQT,20150908,
792,ALX,,EQT,19691007,
